Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-10,83.69,85.6,79.02,85.52,19182100,85.52,,,,,3mo,0,75.64
2022-01-11,84.83,90.09,84.25,89.04,13972200,89.04,85.52,3.52,0.04,4.12,3mo,1,75.03
2022-01-12,90.31,90.31,86.7,89.06,14057900,89.06,89.04,0.02,0.0,0.02,3mo,2,74.41
2022-01-13,89.55,89.59,80.11,80.18,20964300,80.18,89.06,-8.88,-0.1,-9.97,3mo,3,73.8
2022-01-14,79.35,81.74,77.42,79.05,18642200,79.05,80.18,-1.13,-0.01,-1.41,3mo,4,73.18
2022-01-18,80.44,82.45,76.75,77.21,23959200,77.21,79.05,-1.84,-0.02,-2.33,3mo,5,72.57
2022-01-19,78.24,80.11,75.17,76.16,16892600,76.16,77.21,-1.05,-0.01,-1.36,3mo,6,71.95
2022-01-20,77.66,80.91,75.08,75.39,16838300,75.39,76.16,-0.77,-0.01,-1.01,3mo,7,71.34
2022-01-21,74.19,74.92,68.33,68.93,26043700,68.93,75.39,-6.46,-0.09,-8.57,3mo,8,70.72
2022-01-24,65.41,71.32,60.58,70.74,33280600,70.74,68.93,1.81,0.03,2.63,3mo,9,70.1
2022-01-25,67.96,69.95,64.66,65.29,20959500,65.29,70.74,-5.45,-0.08,-7.7,3mo,10,69.49
2022-01-26,68.1,70.13,61.19,63.02,25741900,63.02,65.29,-2.27,-0.03,-3.48,3mo,11,68.87
2022-01-27,63.99,64.53,56.77,57.06,33439600,57.06,63.02,-5.96,-0.09,-9.46,3mo,12,68.26
2022-01-28,57.36,59.9,53.63,58.18,30682200,58.18,57.06,1.12,0.02,1.96,3mo,13,67.64
2022-01-31,60.66,66.38,60.04,65.86,27942900,65.86,58.18,7.68,0.13,13.2,3mo,14,67.03
2022-02-01,66.31,69.25,63.3,67.75,33738200,67.75,65.86,1.89,0.03,2.87,3mo,15,66.41
2022-02-02,67.32,68.76,64.18,66.17,17257900,66.17,67.75,-1.58,-0.02,-2.33,3mo,16,65.8
2022-02-03,62.3,64.97,59.63,60.67,32647600,60.67,66.17,-5.5,-0.08,-8.31,3mo,17,65.18
2022-02-04,61.67,64.3,59.91,63.74,16078300,63.74,60.67,3.07,0.05,5.06,3mo,18,64.57
2022-02-07,63.95,66.95,62.55,63.06,17694100,63.06,63.74,-0.68,-0.01,-1.07,3mo,19,63.95
2022-02-08,62.62,64.7,60.91,64.43,13816200,64.43,63.06,1.37,0.02,2.17,3mo,20,63.34
2022-02-09,65.46,71.42,64.66,70.48,27292500,70.48,64.43,6.05,0.09,9.39,3mo,21,62.72
